institution,date_added,decision,decision_date,decision_day,program,degree,gpa,gre_verbal,gre_quant,gre_awa
Hankuk University,16 Oct 2019,Other,2019-10-16,Wednesday,Applied Statistics,PhD,NA,NA,NA,NA
University Of Illinois,19 Sep 2019,Other,2019-09-19,Thursday,Statistics,Masters,NA,NA,NA,NA
University Of Western Ontario,7 Jul 2019,Rejected,2019-07-04,Thursday,Statistics,PhD,NA,NA,NA,NA
Worcester Polytechnic Institute,2 Jul 2019,Accepted,2019-01-01,Tuesday,Applied Statistics,Masters,NA,NA,NA,NA
Georgia Institute Of Technology (Gatech Georgia Tech),25 Jun 2019,Other,2019-06-25,Tuesday,Statistics,Masters,NA,NA,NA,NA
Georgia Tecj,25 Jun 2019,Other,2019-06-25,Tuesday,Statistics,Masters,NA,NA,NA,NA
Cornell University,16 Jun 2019,Other,2019-06-16,Sunday,Applied Statistics,Masters,3.4,170,158,3.5
Cornell University,12 Jun 2019,Rejected,2019-06-10,Monday,Applied Statistics,Masters,3.53,155,170,3.5
University Of Texas At Dallas,10 Jun 2019,Accepted,2019-04-26,Friday,Applied Statistics,Masters,NA,NA,NA,NA
Cornell University,10 Jun 2019,Rejected,2019-06-10,Monday,Master Of Statistics,Masters,NA,NA,NA,NA
Cornell University,3 Jun 2019,Other,2019-06-03,Monday,Applied Statistics,Masters,NA,NA,NA,NA
Cornell University,3 Jun 2019,Other,2019-06-03,Monday,Applied Statistics,Masters,NA,NA,NA,NA
Iowa State University,29 May 2019,Wait listed,2019-05-29,Wednesday,Statistics,PhD,NA,164,170,5
ETH Zurich,29 May 2019,Accepted,2019-05-18,Saturday,Statistics,Masters,4,154,159,3.5
Iowa State University,28 May 2019,Other,2019-05-28,Tuesday,Statistics,Masters,NA,NA,NA,NA
University Of Waterloo,22 May 2019,Accepted,2019-05-23,Thursday,Statistics,PhD,3.55,157,170,4
"University Of Californa, Los Angeles (UCLA)",21 May 2019,Accepted,2019-05-21,Tuesday,Applied Statistics,Masters,NA,NA,NA,NA
"University Of Californa, Los Angeles (UCLA)",21 May 2019,Accepted,2019-05-22,Wednesday,Applied Statistics,Masters,NA,NA,NA,NA
ETH Zurich,21 May 2019,Accepted,2019-05-21,Tuesday,Statistics,Masters,NA,NA,NA,NA
University Of Waterloo,17 May 2019,Rejected,2019-05-17,Friday,Statistics,PhD,NA,NA,NA,NA
ETH Zurich,17 May 2019,Rejected,2019-05-17,Friday,Statistics,Masters,NA,NA,NA,NA
University Of Victoria,16 May 2019,Rejected,2019-05-16,Thursday,Statistics,Masters,NA,NA,NA,NA
Cornell University,14 May 2019,Other,2019-05-14,Tuesday,Applied Statistics,Masters,NA,NA,NA,NA
Cornell University,13 May 2019,Wait listed,2019-05-14,Tuesday,Applied Statistics,Masters,NA,NA,NA,NA
Cornell University,13 May 2019,Other,2019-05-13,Monday,Applied Statistics,Masters,NA,NA,NA,NA
Cambridge University,11 May 2019,Accepted,2019-04-17,Wednesday,"MASt In Mathematical Statistics, Part Iii",Masters,3.73,169,155,3.5
Colorado State University,8 May 2019,Rejected,2019-05-08,Wednesday,Applied Statistics,Masters,NA,NA,NA,NA
University Of Virginia,8 May 2019,Accepted,2019-05-09,Thursday,Statistics,Masters,NA,NA,NA,NA
Cornell University,8 May 2019,Other,2019-05-08,Wednesday,Applied Statistics,Masters,NA,NA,NA,NA
Wake Forest University,8 May 2019,Rejected,2019-05-08,Wednesday,Statistics,Masters,NA,NA,NA,NA
Cornell University,8 May 2019,Other,2019-05-08,Wednesday,Applied Statistics,Masters,NA,NA,NA,NA
University Of Western Ontario,7 May 2019,Other,2019-05-07,Tuesday,Statistics,PhD,NA,NA,NA,NA
Columbia University GSAS,5 May 2019,Other,2019-05-05,Sunday,Statistics,Masters,NA,NA,NA,NA
University Of Toronto,4 May 2019,Accepted,2019-03-20,Wednesday,Statistics,PhD,NA,NA,NA,NA
University Of Waterloo,4 May 2019,Other,2019-05-04,Saturday,Statistics,PhD,NA,NA,NA,NA
UMass-Amherst,30 Apr 2019,Rejected,2019-04-30,Tuesday,Statistics,Masters,NA,NA,NA,NA
York University,29 Apr 2019,Rejected,2019-04-29,Monday,Statistics,Masters,NA,NA,NA,NA
"University Of Massachusetts, Amherst",29 Apr 2019,Accepted,2019-04-29,Monday,Statistics,Masters,NA,NA,NA,NA
Columbia University,26 Apr 2019,Accepted,2019-04-23,Tuesday,Statistics,Masters,3.72,167,170,4.5
Columbia University,25 Apr 2019,Accepted,2019-04-23,Tuesday,Statistics,Masters,NA,168,168,5
"University Of Californa, Los Angeles (UCLA)uc",24 Apr 2019,Wait listed,2019-04-24,Wednesday,Applied Statistics,Masters,3.42,157,167,0
"University of California, Los Angeles",24 Apr 2019,Accepted,2019-04-23,Tuesday,Applied Statistics,Masters,NA,NA,NA,NA
UMass-Amherst,24 Apr 2019,Other,2019-04-24,Wednesday,Statistics,Masters,NA,NA,NA,NA
UMass-Amherst,24 Apr 2019,Rejected,2019-04-22,Monday,Statistics,PhD,NA,NA,NA,NA
UMass-Amherst,24 Apr 2019,Rejected,2019-04-24,Wednesday,Statistics,PhD,NA,NA,NA,NA
University Of Massachusetts Amherst,24 Apr 2019,Rejected,2019-04-24,Wednesday,Statistics,PhD,NA,NA,NA,NA
"University Of California, Los Angeles",24 Apr 2019,Accepted,2019-04-23,Tuesday,Applied Statistics,Masters,NA,155,169,4
"University Of Californa, Los Angeles (UCLA)",23 Apr 2019,Wait listed,2019-04-23,Tuesday,Applied Statistics,Masters,NA,NA,NA,NA
University College London (UCL),23 Apr 2019,Accepted,2019-04-23,Tuesday,Computational Statistics And Machine Learning,Masters,NA,NA,NA,NA
University Of Toronto,23 Apr 2019,Rejected,2019-04-23,Tuesday,Statistics,PhD,NA,NA,NA,NA
Rice University,20 Apr 2019,Rejected,2019-04-19,Friday,Statistics,PhD,NA,NA,NA,NA
"University Of Californa, Los Angeles (UCLA)",19 Apr 2019,Accepted,2019-03-26,Tuesday,Applied Statistics,Masters,NA,NA,NA,NA
Penn State University (PSU),19 Apr 2019,Other,2019-04-19,Friday,Applied Statistics,Masters,NA,NA,NA,NA
George Washington University,19 Apr 2019,Accepted,2019-04-15,Monday,Statistics,Masters,NA,NA,NA,NA
Oregon State University,19 Apr 2019,Accepted,2019-04-18,Thursday,Statistics,Masters,3.71,162,167,3.5
Penn State University,18 Apr 2019,Other,2019-04-19,Friday,Applied Statistics,Masters,NA,NA,NA,NA
Penn State University (PSU),18 Apr 2019,Other,2019-04-18,Thursday,Applied Statistics,Masters,NA,NA,NA,NA
Penn State (Pennsylvania State University),18 Apr 2019,Accepted,2019-04-15,Monday,Applied Statistics,Masters,NA,NA,NA,NA
University Of Michigan,17 Apr 2019,Rejected,2019-04-15,Monday,Applied Statistics,Masters,NA,NA,NA,NA
University Of Michigan,17 Apr 2019,Rejected,2019-04-16,Tuesday,Statistics,Masters,3.78,170,158,4
University Of Washington,17 Apr 2019,Rejected,2019-04-17,Wednesday,Statistics,Masters,NA,NA,NA,NA
University Of North Carolina Chapel Hill (UNC),17 Apr 2019,Rejected,2019-04-18,Thursday,Statistics And Operations Research,PhD,2.85,160,166,4
University Of Virginia,17 Apr 2019,Rejected,2019-04-17,Wednesday,Statistics,PhD,3.37,160,166,4
University Of Toronto,17 Apr 2019,Other,2019-04-17,Wednesday,Applied Statistics,Masters,NA,NA,NA,NA
University Of Toronto,17 Apr 2019,Other,2019-04-17,Wednesday,Applied Statistics,Masters,NA,NA,NA,NA
University Of Toronto,17 Apr 2019,Rejected,2019-04-17,Wednesday,Applied Statistics,Masters,NA,NA,NA,NA
Northwestern University,17 Apr 2019,Rejected,2019-04-17,Wednesday,Statistics,PhD,NA,NA,NA,NA
Simon Fraser University,17 Apr 2019,Rejected,2019-04-17,Wednesday,Statistics,Masters,NA,NA,NA,NA
University Of Guelph,17 Apr 2019,Accepted,2019-03-06,Wednesday,Statistics,Masters,NA,NA,NA,NA
University Of Pittsburgh,15 Apr 2019,Rejected,2019-04-15,Monday,Statistics,Masters,NA,NA,NA,NA
Columbia University,15 Apr 2019,Rejected,2019-04-15,Monday,Statistics,PhD,NA,NA,NA,NA
"University Of Illinois, Urbana-Champaign (UIUC)",15 Apr 2019,Rejected,2019-04-15,Monday,Statistics,Masters,3.2,158,165,3.5
University Of Illinois,15 Apr 2019,Rejected,2019-04-15,Monday,Statistics,Masters,3.01,170,165,5
"University Of Illinois, Urbana Champaign (UIUC)",15 Apr 2019,Rejected,2019-04-15,Monday,Statistics,Masters,NA,152,166,3
"University Of Massachusetts, Amherst",15 Apr 2019,Other,2019-04-15,Monday,Statistics,PhD,NA,NA,NA,NA
UMass-Amherst,15 Apr 2019,Other,2019-04-15,Monday,Statistics,PhD,NA,NA,NA,NA
University Of Wisconsin-Madison,15 Apr 2019,Rejected,2019-04-15,Monday,Statistics,PhD,NA,NA,NA,NA
University Of Michigan,15 Apr 2019,Rejected,2019-04-15,Monday,Statistics,PhD,NA,NA,NA,NA
University Of Notre Dame,15 Apr 2019,Rejected,2019-04-14,Sunday,Applied And Computational Mathematics And Statistics,PhD,NA,NA,NA,NA
University Of Michigan,14 Apr 2019,Wait listed,2019-04-14,Sunday,Statistics,PhD,NA,NA,NA,NA
"University Of California, Riverside",14 Apr 2019,Accepted,2019-01-22,Tuesday,Applied Statistics,PhD,3.53,159,163,4
University Of North Carolina Chapel Hill (UNC),14 Apr 2019,Other,2019-04-14,Sunday,Statistics,PhD,NA,NA,NA,NA
ALL Grad School,14 Apr 2019,Wait listed,2019-04-14,Sunday,Statistics,PhD,NA,NA,NA,NA
NCSU (North Carolina State University),14 Apr 2019,Other,2019-04-14,Sunday,Statistics,PhD,NA,NA,NA,NA
University Of Michigan,13 Apr 2019,Other,2019-04-14,Sunday,Statistics,PhD,NA,NA,NA,NA
"University Of California, Davis",13 Apr 2019,Accepted,2019-04-13,Saturday,Statistics,Masters,4,148,162,4.5
University Of Michigan,13 Apr 2019,Wait listed,2019-04-13,Saturday,Statistics,PhD,NA,NA,NA,NA
University Of Pennsylvania,13 Apr 2019,Rejected,2019-04-12,Friday,Statistics,PhD,NA,NA,NA,NA
University Of Chicago,13 Apr 2019,Rejected,2019-04-06,Saturday,Statistics,PhD,NA,NA,NA,NA
Ohio State University,12 Apr 2019,Rejected,2019-04-11,Thursday,Statistics,PhD,3.6,155,159,3
University Of Wisconsin-Madison,12 Apr 2019,Rejected,2019-04-12,Friday,Statistics,PhD,NA,NA,NA,NA
"University Of Californa, Los Angeles (UCLA)",12 Apr 2019,Other,2019-04-12,Friday,Statistics,PhD,NA,NA,NA,NA
"University Of California, Los Angeles",12 Apr 2019,Other,2019-04-12,Friday,Statistics,PhD,NA,NA,NA,NA
Boston University,12 Apr 2019,Rejected,2019-04-10,Wednesday,Statistics,PhD,NA,NA,NA,NA
University Of Minnesota,12 Apr 2019,Rejected,2019-04-10,Wednesday,Statistics,PhD,NA,NA,NA,NA
University Of Waterloo,12 Apr 2019,Rejected,2019-04-11,Thursday,Statistics,Masters,NA,NA,NA,NA
New York University (NYU) - Steinhardt,12 Apr 2019,Other,2019-04-12,Friday,Statistics,PhD,NA,NA,NA,NA
Washington University In St. Louis (WashU/WUSTL),12 Apr 2019,Rejected,2019-04-12,Friday,Statistics,PhD,NA,NA,NA,NA
Ohio State University,12 Apr 2019,Rejected,2019-04-12,Friday,Statistics,PhD,3.59,155,169,3.5
Ohio State University,12 Apr 2019,Rejected,2019-04-12,Friday,Statistics,PhD,NA,161,170,3
Concordia University,12 Apr 2019,Other,2019-04-12,Friday,Statistics,Masters,NA,NA,NA,NA
University Of Florida,11 Apr 2019,Rejected,2019-04-11,Thursday,Statistics,Masters,NA,152,166,3
University Of Illinois,11 Apr 2019,Accepted,2019-04-11,Thursday,Statistics,Masters,4,148,162,4.5
McMaster University,11 Apr 2019,Accepted,2019-04-11,Thursday,Statistics,Masters,NA,NA,NA,NA
Northwestern University,11 Apr 2019,Accepted,2019-03-07,Thursday,Statistics,PhD,NA,NA,NA,NA
University Of Illinois (UIUC),11 Apr 2019,Other,2019-04-11,Thursday,Statistics,Masters,NA,NA,NA,NA
University Of Wisconsin-Madison,11 Apr 2019,Other,2019-04-11,Thursday,Statistics,PhD,NA,NA,NA,NA
University Of Wisconsin-Madison,11 Apr 2019,Wait listed,2019-04-11,Thursday,Statistics,PhD,NA,NA,NA,NA
University Of Notre Dame,11 Apr 2019,Wait listed,2019-04-10,Wednesday,Applied And Computational Mathematics And Statistics,PhD,NA,NA,NA,NA
"University Of Californa, Los Angeles (UCLA)",11 Apr 2019,Accepted,2019-04-10,Wednesday,Applied Statistics,Masters,NA,NA,NA,NA
University Of Chicago,10 Apr 2019,Wait listed,2019-04-10,Wednesday,Statistics,PhD,NA,NA,NA,NA
University Of Toronto,10 Apr 2019,Other,2019-04-11,Thursday,Statistics,Masters,3.9,162,167,5
"University Of Californa, Los Angeles (UCLA)",10 Apr 2019,Accepted,2019-04-09,Tuesday,Statistics,PhD,NA,153,170,3
Boston University,10 Apr 2019,Rejected,2019-04-10,Wednesday,Statistics,PhD,NA,NA,NA,NA
Northwestern University,10 Apr 2019,Accepted,2019-04-08,Monday,Statistics,PhD,3.8,162,170,5
University Of North Carolina Chapel Hill (UNC),10 Apr 2019,Other,2019-04-09,Tuesday,Statistics,PhD,3.75,160,165,4.5
University Of North Carolina Chapel Hill (UNC),10 Apr 2019,Other,2019-04-10,Wednesday,Statistics,Masters,NA,NA,NA,NA
University Of Iowa,10 Apr 2019,Accepted,2019-04-10,Wednesday,Statistics,PhD,NA,NA,NA,NA
University Of Michigan,10 Apr 2019,Wait listed,2019-04-10,Wednesday,Statistics,PhD,NA,NA,NA,NA
University Of Michigan,10 Apr 2019,Other,2019-04-10,Wednesday,Statistics,PhD,NA,NA,NA,NA
University Of Michigan,10 Apr 2019,Rejected,2019-04-10,Wednesday,Statistics,PhD,NA,161,170,3
University Of Michigan,10 Apr 2019,Other,2019-04-10,Wednesday,Statistics,PhD,NA,NA,NA,NA
University Of Michigan,10 Apr 2019,Wait listed,2019-04-10,Wednesday,Statistics,PhD,NA,NA,NA,NA
Oregon State University,10 Apr 2019,Other,2019-04-09,Tuesday,Statistics,Other,NA,NA,NA,NA
UC San Diego (UCSD),10 Apr 2019,Accepted,2019-04-02,Tuesday,Statistics,Masters,NA,NA,NA,NA
"University Of Illinois, Urbana Champaign",9 Apr 2019,Other,2019-04-09,Tuesday,Statistics,Masters,3.2,170,166,5
UNC Charlotte,9 Apr 2019,Accepted,2019-03-27,Wednesday,Statistics,PhD,NA,NA,NA,NA
Iowa State University,9 Apr 2019,Accepted,2019-04-09,Tuesday,Statistics,PhD,NA,NA,NA,NA
University Of North Carolina Chapel Hill (UNC),9 Apr 2019,Other,2019-04-10,Wednesday,Statistics,Masters,NA,NA,NA,NA
University Of Illinois,9 Apr 2019,Other,2019-04-09,Tuesday,Statistics,Masters,NA,NA,NA,NA
Carleton University,9 Apr 2019,Rejected,2019-04-09,Tuesday,Statistics,Masters,NA,NA,NA,NA
University Of Illinois Urbana Champaign,9 Apr 2019,Accepted,2019-04-09,Tuesday,Statistics,Masters,3.2,170,166,5
Columbia University,9 Apr 2019,Rejected,2019-04-09,Tuesday,Statistics,Masters,NA,NA,NA,NA
"University Of Californa, Los Angeles (UCLA)",9 Apr 2019,Wait listed,2019-04-09,Tuesday,Applied Statistics,Masters,NA,NA,NA,NA
Michigan State University (MSU),9 Apr 2019,Accepted,2019-02-25,Monday,Statistics,PhD,NA,NA,NA,NA
Rutgers University - New Brunswick,9 Apr 2019,Rejected,2019-04-09,Tuesday,Statistics,PhD,NA,NA,NA,NA
Columbia University,9 Apr 2019,Wait listed,2019-03-06,Wednesday,Statistics,PhD,NA,NA,NA,NA
Columbia University,9 Apr 2019,Wait listed,2019-03-06,Wednesday,Statistics,PhD,NA,NA,NA,NA
University Of Florida,9 Apr 2019,Other,2019-04-09,Tuesday,Statistics,Masters,NA,NA,NA,NA
"University Of California, Berkeley",9 Apr 2019,Accepted,2019-04-09,Tuesday,Statistics,Masters,3.1,162,152,4
"University Of Californa, Los Angeles (UCLA)",9 Apr 2019,Accepted,2019-04-09,Tuesday,Applied Statistics,Masters,NA,NA,NA,NA
"University Of Californa, Los Angeles (UCLA)",8 Apr 2019,Other,2019-04-09,Tuesday,Applied Statistics,Masters,3.42,165,167,5
Rutgers University,8 Apr 2019,Rejected,2019-04-09,Tuesday,Statistics,PhD,3.37,160,166,4
Rutgers University,8 Apr 2019,Other,2019-04-08,Monday,Statistics,PhD,NA,NA,NA,NA
Rutgers University,8 Apr 2019,Rejected,2019-04-06,Saturday,Statistics,PhD,NA,NA,NA,NA
Cornell (Ithaca),8 Apr 2019,Accepted,2019-04-03,Wednesday,Applied Statistics,Masters,4,154,170,3.5
University Of Michigan,8 Apr 2019,Wait listed,2019-04-05,Friday,Statistics,PhD,NA,NA,NA,NA
Rutgers University,7 Apr 2019,Accepted,2019-04-08,Monday,Statistics,PhD,3.59,169,155,3.5
University Of Minnesota,7 Apr 2019,Wait listed,2019-03-28,Thursday,Statistics,PhD,NA,NA,NA,NA
University Of Michigan,7 Apr 2019,Accepted,2019-03-11,Monday,Statistics,PhD,NA,NA,NA,NA
University Of Michigan,7 Apr 2019,Other,2019-04-07,Sunday,Statistics,PhD,NA,NA,NA,NA
"University Of Californa, Los Angeles (UCLA)",6 Apr 2019,Other,2019-04-07,Sunday,Applied Statistics,Masters,NA,NA,NA,NA
Penn State University,6 Apr 2019,Accepted,2019-02-22,Friday,Applied Statistics,Masters,NA,NA,NA,NA
"University Of Californa, Los Angeles (UCLA)",6 Apr 2019,Other,2019-04-06,Saturday,Applied Statistics,Masters,NA,NA,NA,NA
University Of Florida,6 Apr 2019,Rejected,2019-04-05,Friday,Statistics,PhD,NA,NA,NA,NA
University Of Toronto,5 Apr 2019,Other,2019-04-06,Saturday,Statistics,PhD,NA,NA,NA,NA
McGill University,5 Apr 2019,Rejected,2019-04-06,Saturday,Statistics,Masters,NA,NA,NA,NA
"University Of Californa, Los Angeles (UCLA)",5 Apr 2019,Accepted,2019-04-06,Saturday,Statistics,PhD,NA,NA,NA,NA
"University of Illinois, Urbana-Champaign",5 Apr 2019,Other,2019-04-05,Friday,Statistics,Masters,NA,NA,NA,NA
University Of Illinois (UIUC),5 Apr 2019,Accepted,2019-04-05,Friday,Statistics-Analytics,Masters,3.54,152,167,0
University Of Illinois (UIUC),5 Apr 2019,Accepted,2019-04-05,Friday,Statistics,Masters,NA,NA,NA,NA
Cornell University,5 Apr 2019,Other,2019-04-05,Friday,Applied Statistics,Masters,NA,NA,NA,NA
Cornell University,5 Apr 2019,Other,2019-04-05,Friday,Applied Statistics,Masters,NA,NA,NA,NA
University Of Illinois (UIUC),5 Apr 2019,Other,2019-04-05,Friday,Statistics,Masters,NA,NA,NA,NA
University Of Illinois (UIUC),5 Apr 2019,Other,2019-04-05,Friday,Statistics,Masters,NA,NA,NA,NA
University Of Illinois (UIUC),5 Apr 2019,Other,2019-04-05,Friday,Statistics,Masters,NA,NA,NA,NA
UC Santa Barbara (UCSB),5 Apr 2019,Other,2019-04-05,Friday,Statistics,Masters,NA,NA,NA,NA
Ntnu,5 Apr 2019,Rejected,2019-04-05,Friday,Statistics,Masters,NA,NA,NA,NA
Johns Hopkins University,5 Apr 2019,Accepted,2019-04-05,Friday,Applied Mathematics And Statistics,PhD,3.92,170,170,5
University Of Oxford,5 Apr 2019,Rejected,2019-04-05,Friday,Statistics,PhD,NA,NA,NA,NA
University Of Waterloo,5 Apr 2019,Rejected,2019-04-04,Thursday,Statistics,Masters,NA,NA,NA,NA
"University Of Illinois, Chicago (UIC)",5 Apr 2019,Accepted,2019-04-05,Friday,"Mathematics, Statistics, And Computer Science (MSCS)",Other,3.75,155,170,4
University Of Iowa,5 Apr 2019,Rejected,2019-04-04,Thursday,Statistics,Masters,NA,NA,NA,NA
University Of Iowa,5 Apr 2019,Rejected,2019-04-04,Thursday,Statistics,Masters,NA,NA,NA,NA
University Of Iowa,5 Apr 2019,Rejected,2019-04-04,Thursday,Statistics,Masters,NA,NA,NA,NA
University Of Virginia,4 Apr 2019,Accepted,2019-04-05,Friday,Statistics,PhD,NA,NA,NA,NA
McGill University,4 Apr 2019,Other,2019-04-05,Friday,Statistics,PhD,NA,NA,NA,NA
"University Of California, Davis",4 Apr 2019,Other,2019-04-04,Thursday,Statistics,Masters,NA,NA,NA,NA
UC Santa Barbara (UCSB),4 Apr 2019,Other,2019-04-04,Thursday,Statistics,Masters,NA,NA,NA,NA
University Of Toronto,4 Apr 2019,Other,2019-04-04,Thursday,Statistics,Masters,NA,NA,NA,NA
University Of Waterloo,4 Apr 2019,Rejected,2019-04-04,Thursday,Statistics (MMath - Data Science),Masters,3.77,169,170,4.5
"University Of California, Davis",4 Apr 2019,Accepted,2019-04-04,Thursday,Statistics,Masters,NA,NA,NA,NA
Cornell University,4 Apr 2019,Other,2019-04-04,Thursday,MPS Statistics,Masters,NA,NA,NA,NA
Cornell University,4 Apr 2019,Other,2019-04-04,Thursday,Applied Statistics,Masters,NA,NA,NA,NA
Cornell University,4 Apr 2019,Other,2019-04-04,Thursday,Applied Statistics,Masters,NA,NA,NA,NA
McGill University,4 Apr 2019,Other,2019-04-04,Thursday,Statistics,Masters,NA,NA,NA,NA
Imperial College London,4 Apr 2019,Accepted,2019-04-04,Thursday,Statistics (Data Science),Masters,NA,NA,NA,NA
University Of Minnesota,4 Apr 2019,Wait listed,2019-03-11,Monday,Statistics,PhD,NA,NA,NA,NA
University Of Toronto,4 Apr 2019,Other,2019-04-01,Monday,Statistics,Masters,NA,NA,NA,NA
University Of Toronto,4 Apr 2019,Other,2019-04-04,Thursday,Statistics,PhD,3.85,159,170,0
Cornell University,4 Apr 2019,Accepted,2019-04-04,Thursday,Applied Statistics,Masters,2.9,157,155,3
Cornell University,3 Apr 2019,Wait listed,2019-04-04,Thursday,Applied Statistics,Masters,NA,NA,NA,NA
Lehigh University,3 Apr 2019,Accepted,2019-03-30,Saturday,Statistics,Masters,NA,NA,NA,NA
Cornell University,3 Apr 2019,Accepted,2019-04-03,Wednesday,Statistics,Other,NA,NA,NA,NA
University Of Florida,3 Apr 2019,Rejected,2019-04-03,Wednesday,Statistics,Masters,3.32,149,162,3.5
Cornell University,3 Apr 2019,Accepted,2019-04-03,Wednesday,Applied Statistics,Masters,NA,NA,NA,NA
"University Of Californa, Los Angeles (UCLA)",3 Apr 2019,Accepted,2019-03-22,Friday,Statistics,Masters,NA,NA,NA,NA
"University Of Californa, Los Angeles (UCLA)",3 Apr 2019,Rejected,2019-04-03,Wednesday,Master Of Applied Statistics,Masters,NA,NA,NA,NA
University Of Windsor,3 Apr 2019,Rejected,2019-04-03,Wednesday,Statistics,Masters,NA,NA,NA,NA
University Of South Florida,3 Apr 2019,Rejected,2019-04-02,Tuesday,Statistics,Masters,3.8,153,168,3
"University Of Californa, Los Angeles (UCLA)",3 Apr 2019,Rejected,2019-04-02,Tuesday,Applied Statistics,Masters,3.2,166,150,3
Iowa State University,3 Apr 2019,Other,2019-04-03,Wednesday,Statistics,PhD,NA,NA,NA,NA
University Of North Carolina Chapel Hill (UNC),3 Apr 2019,Other,2019-04-03,Wednesday,Statistics,PhD,NA,NA,NA,NA
Columbia University (GSAS),3 Apr 2019,Other,2019-04-03,Wednesday,Statistics,Masters,NA,NA,NA,NA
Rutgers University,2 Apr 2019,Rejected,2019-04-03,Wednesday,Statistics,PhD,NA,NA,NA,NA
"University Of California, Davis",2 Apr 2019,Rejected,2019-04-02,Tuesday,Statistics,Masters,NA,166,152,3
"University Of California, Davis",2 Apr 2019,Rejected,2019-04-02,Tuesday,Statistics,Masters,NA,NA,NA,NA
"University Of California, Davis",2 Apr 2019,Rejected,2019-04-03,Wednesday,Statistics,Masters,3.74,155,163,5
UMass-Amherst,2 Apr 2019,Accepted,2019-04-02,Tuesday,Statistics,PhD,NA,NA,NA,NA
"University Of California, Davis",2 Apr 2019,Other,2019-04-02,Tuesday,Statistics,Masters,NA,NA,NA,NA
"University Of California, Davis",2 Apr 2019,Other,2019-04-02,Tuesday,Statistics,Masters,NA,NA,NA,NA
NCSU (North Carolina State University),2 Apr 2019,Accepted,2019-04-02,Tuesday,Statistics,PhD,3.8,168,170,5.5
University Of Virginia,2 Apr 2019,Accepted,2019-03-04,Monday,Statistics,PhD,NA,NA,NA,NA
University Of Florida,2 Apr 2019,Rejected,2019-04-01,Monday,Statistics,PhD,NA,153,170,3
University Of Wisconsin-Madison,2 Apr 2019,Other,2019-04-02,Tuesday,Statistics,PhD,NA,NA,NA,NA
"University Of Californa, Los Angeles (UCLA)",2 Apr 2019,Other,2019-04-02,Tuesday,Applied Statistics,Masters,NA,NA,NA,NA
University Of Chicago,1 Apr 2019,Other,2019-04-02,Tuesday,Statistics,PhD,NA,NA,NA,NA
University Of Minnesota,1 Apr 2019,Other,2019-04-02,Tuesday,Statistics,PhD,NA,NA,NA,NA
Michigan,1 Apr 2019,Other,2019-04-02,Tuesday,Statistics,PhD,NA,NA,NA,NA
University Of Texas At San Antonio,1 Apr 2019,Other,2019-04-01,Monday,Applied Statistics,PhD,NA,NA,NA,NA
Queens University,1 Apr 2019,Other,2019-04-01,Monday,Mathermatics And Statistics (Biostatistics Specialization),Masters,NA,NA,NA,NA
"University Of Californa, Los Angeles (UCLA)",1 Apr 2019,Accepted,2019-04-01,Monday,Statistics,Masters,NA,NA,NA,NA
University Of North Carolina Chapel Hill (UNC),1 Apr 2019,Other,2019-04-01,Monday,Statistics,PhD,NA,NA,NA,NA
University Of North Carolina Chapel Hill (UNC),1 Apr 2019,Wait listed,2019-03-12,Tuesday,Statistics,PhD,3.75,160,165,4.5
University Of North Carolina Chapel Hill (UNC),31 Mar 2019,Other,2019-03-31,Sunday,Statistics,Masters,NA,NA,NA,NA
"University Of California, Davis",31 Mar 2019,Rejected,2019-03-19,Tuesday,Statistics,PhD,NA,NA,NA,NA
Temple University,29 Mar 2019,Other,2019-03-30,Saturday,Statistics,PhD,NA,154,164,4
University Of Cambridge (UK),29 Mar 2019,Accepted,2019-03-01,Friday,Pure Mathematics And Math Statistics,PhD,3.9,158,170,4
University Of Helsinki,29 Mar 2019,Accepted,2019-03-29,Friday,Mathematics And Statistics,Masters,NA,NA,NA,NA
University Of Illinois,29 Mar 2019,Accepted,2019-03-29,Friday,Statistics,Masters,3.12,158,170,4.5
Georgia Tech,29 Mar 2019,Accepted,2019-03-29,Friday,Statistics (ISYE),Masters,NA,NA,NA,NA
UMass-Amherst,29 Mar 2019,Other,2019-03-29,Friday,Statistics,PhD,NA,NA,NA,NA
Iowa State University,28 Mar 2019,Rejected,2019-03-29,Friday,Statistics,Masters,3.76,166,169,4
Iowa State University,28 Mar 2019,Rejected,2019-03-29,Friday,Statistics,PhD,3.91,163,170,5
Iowa State University,28 Mar 2019,Wait listed,2019-03-28,Thursday,Statistics,PhD,NA,NA,NA,NA
Iowa State University,28 Mar 2019,Wait listed,2019-03-29,Friday,Statistics,PhD,NA,NA,NA,NA
Cental Micigan University,28 Mar 2019,Accepted,2019-03-29,Friday,Statistics,PhD,NA,NA,NA,NA
Iowa State University,28 Mar 2019,Wait listed,2019-03-28,Thursday,Statistics,PhD,NA,NA,NA,NA
Johns Hopkins University,28 Mar 2019,Other,2019-03-28,Thursday,Statistics,PhD,NA,NA,NA,NA
Michigan State University,28 Mar 2019,Other,2019-03-28,Thursday,Statistics,PhD,NA,NA,NA,NA
"University Of Californa, Los Angeles (UCLA)",28 Mar 2019,Accepted,2019-03-27,Wednesday,Statistics,PhD,3.79,169,157,5
"University Of Massachusetts, Amherst UMass",28 Mar 2019,Other,2019-03-28,Thursday,Statistics,Masters,NA,NA,NA,NA
