institution,date_added,decision,decision_date,decision_day,program,degree,gpa,gre_verbal,gre_quant,gre_awa
University Of Florida,10 Sep 2019,Rejected,2019-03-08,Friday,English,PhD,3.9,168,158,6
Florida State University (FSU),10 Sep 2019,Rejected,2019-02-28,Thursday,English (Rhetoric & Composition),PhD,3.9,168,158,6
Arizona State University,10 Sep 2019,Rejected,2019-03-01,Friday,"English (Writing, Rhetoric, And Literacies)",PhD,3.9,168,158,6
University Of Arizona,10 Sep 2019,Rejected,2019-02-15,Friday,"Rhetoric, Composition, And Teaching Of English",PhD,3.9,168,158,6
Georgetown University,15 May 2019,Accepted,2019-05-14,Tuesday,English,Masters,NA,NA,NA,NA
University Of Arizona,13 May 2019,Rejected,2019-05-13,Monday,English,PhD,NA,NA,NA,NA
George Washington University,24 Apr 2019,Accepted,2019-04-25,Thursday,English,Masters,3.75,162,153,5
George Washington University (GWU),24 Apr 2019,Accepted,2019-04-15,Monday,English,PhD,NA,NA,NA,NA
Columbia University,24 Apr 2019,Rejected,2019-04-24,Wednesday,English,Masters,NA,NA,NA,NA
Columbia University (GSAS),24 Apr 2019,Rejected,2019-04-24,Wednesday,English,Masters,NA,NA,NA,NA
Boston University,23 Apr 2019,Accepted,2019-04-22,Monday,English,Masters,3.75,162,153,5
University Of Arizona,22 Apr 2019,Accepted,2019-04-10,Wednesday,English Literature,PhD,3.9,158,0,5
Ohio University,20 Apr 2019,Accepted,2019-04-16,Tuesday,English/Creative Writing,PhD,NA,NA,NA,NA
University Of Southern California,18 Apr 2019,Wait listed,2019-04-18,Thursday,English,PhD,NA,NA,NA,NA
University Of Southern California,18 Apr 2019,Rejected,2019-04-18,Thursday,English,PhD,NA,NA,NA,NA
Bucknell University,18 Apr 2019,Accepted,2019-04-17,Wednesday,English,Masters,3.75,166,150,5
Ohio University (Athens),18 Apr 2019,Accepted,2019-04-04,Thursday,English (Rhet./Comp.),PhD,NA,NA,NA,NA
University Of British Columbia,17 Apr 2019,Rejected,2019-04-18,Thursday,English,Masters,NA,NA,NA,NA
University Of British Columbia,17 Apr 2019,Rejected,2019-04-17,Wednesday,English,Masters,3.9,164,156,6
SUNY Stony Brook,17 Apr 2019,Accepted,2019-04-17,Wednesday,English,PhD,NA,NA,NA,NA
George Washington University,17 Apr 2019,Rejected,2019-04-17,Wednesday,English,PhD,NA,NA,NA,NA
University Of Pennsylvania,16 Apr 2019,Accepted,2019-04-15,Monday,English,PhD,NA,NA,NA,NA
George Washington University,16 Apr 2019,Other,2019-04-16,Tuesday,English,PhD,NA,NA,NA,NA
"University Of California, Davis",16 Apr 2019,Accepted,2019-04-16,Tuesday,English,PhD,NA,167,148,5.5
Columbia University,16 Apr 2019,Accepted,2019-04-16,Tuesday,English,Masters,NA,NA,NA,NA
George Washington University,15 Apr 2019,Other,2019-04-15,Monday,English,Masters,NA,NA,NA,NA
University Of Connecticut (UConn),15 Apr 2019,Accepted,2019-04-15,Monday,English,PhD,NA,NA,NA,NA
University Of Florida,14 Apr 2019,Accepted,2019-04-14,Sunday,English,PhD,NA,NA,NA,NA
University Of Cincinnati,13 Apr 2019,Accepted,2019-04-10,Wednesday,English And Comparative Literature,PhD,NA,NA,NA,NA
University Of Connecticut (UConn),13 Apr 2019,Accepted,2019-04-11,Thursday,English,Masters,3.8,160,149,5.5
University Of Mississippi,13 Apr 2019,Accepted,2019-03-03,Sunday,English,PhD,NA,165,160,4.5
University Of Southern California,13 Apr 2019,Rejected,2019-04-13,Saturday,English,PhD,NA,NA,NA,NA
Tufts University,12 Apr 2019,Rejected,2019-04-13,Saturday,English,PhD,NA,NA,NA,NA
Washington State University,12 Apr 2019,Wait listed,2019-04-13,Saturday,English,PhD,NA,NA,NA,NA
Brandeis University,12 Apr 2019,Rejected,2019-04-12,Friday,English,PhD,NA,NA,NA,NA
Washington State University,12 Apr 2019,Accepted,2019-04-11,Thursday,English,PhD,NA,NA,NA,NA
SUNY Albany,12 Apr 2019,Accepted,2019-04-05,Friday,English,PhD,NA,NA,NA,NA
Arizona State University,11 Apr 2019,Accepted,2019-04-10,Wednesday,English,PhD,NA,NA,NA,NA
University Of Virginia,11 Apr 2019,Accepted,2019-04-09,Tuesday,English,PhD,3.83,170,161,5.5
"University Of Arizona, Tucson",11 Apr 2019,Rejected,2019-04-10,Wednesday,English Literature,PhD,NA,NA,NA,NA
Washington University In St. Louis (WashU/WUSTL),11 Apr 2019,Accepted,2019-04-10,Wednesday,English,PhD,3.2,167,169,4
UC Santa Barbara,10 Apr 2019,Rejected,2019-04-10,Wednesday,English,PhD,NA,NA,NA,NA
Purdue University,10 Apr 2019,Rejected,2019-04-10,Wednesday,English Literature,Masters,4,163,154,5
Purdue University,10 Apr 2019,Rejected,2019-04-10,Wednesday,English,PhD,NA,NA,NA,NA
"University Of Alabama, Tuscaloosa",10 Apr 2019,Accepted,2019-04-09,Tuesday,"English, CRES",PhD,NA,NA,NA,NA
University Of Toronto,9 Apr 2019,Rejected,2019-04-10,Wednesday,English,Masters,3.96,166,151,6
Fordham University,9 Apr 2019,Accepted,2019-04-09,Tuesday,English,Masters,3.75,162,153,5
Penn State University,8 Apr 2019,Wait listed,2019-04-08,Monday,English,PhD,NA,NA,NA,NA
Boston University,8 Apr 2019,Wait listed,2019-04-08,Monday,English,Masters,NA,NA,NA,NA
Boston University,8 Apr 2019,Rejected,2019-04-08,Monday,English,PhD,3.75,162,153,5
Penn State University,8 Apr 2019,Accepted,2019-04-08,Monday,English,Masters,NA,NA,NA,NA
University Of Oregon,8 Apr 2019,Other,2019-04-08,Monday,English,PhD,NA,NA,NA,NA
Emory University,7 Apr 2019,Rejected,2019-03-31,Sunday,English,PhD,NA,167,164,5
University Of North Carolina Chapel Hill (UNC),7 Apr 2019,Accepted,2019-04-06,Saturday,English - Rhetoric,PhD,NA,NA,NA,NA
University Of Toronto,6 Apr 2019,Rejected,2019-04-05,Friday,English In Field Of Creative Writing,Masters,NA,NA,NA,NA
Penn State (Pennsylvania State University),5 Apr 2019,Rejected,2019-04-06,Saturday,English,Masters,NA,NA,NA,NA
Penn State (Pennsylvania State University),5 Apr 2019,Other,2019-04-06,Saturday,English,Other,NA,NA,NA,NA
Penn State (Pennsylvania State University),5 Apr 2019,Rejected,2019-04-05,Friday,English,PhD,NA,NA,NA,NA
Penn State University,5 Apr 2019,Rejected,2019-04-05,Friday,English,PhD,3.9,164,154,5
Penn State (Pennsylvania State University),5 Apr 2019,Rejected,2019-04-05,Friday,English,PhD,NA,NA,NA,NA
Penn State University,5 Apr 2019,Rejected,2019-04-05,Friday,English,PhD,NA,NA,NA,NA
Penn State (Pennsylvania State University),5 Apr 2019,Rejected,2019-04-05,Friday,English,PhD,NA,NA,NA,NA
Johns Hopkins University,5 Apr 2019,Rejected,2019-04-05,Friday,English,PhD,NA,NA,NA,NA
"University Of California, Berkeley",5 Apr 2019,Rejected,2019-04-04,Thursday,English,PhD,3.86,170,157,6
"University Of California, Berkeley",5 Apr 2019,Rejected,2019-04-05,Friday,English,PhD,NA,NA,NA,NA
University Of British Columbia,5 Apr 2019,Other,2019-04-05,Friday,English,Masters,NA,NA,NA,NA
"University Of California, Berkeley",5 Apr 2019,Rejected,2019-04-05,Friday,English,PhD,NA,NA,NA,NA
"University Of California, Berkeley",5 Apr 2019,Rejected,2019-04-05,Friday,English,PhD,3.75,162,153,5
Penn State (Pennsylvania State University),5 Apr 2019,Other,2019-04-05,Friday,English (Lit Studies),PhD,NA,NA,NA,NA
"University Of California, Berkeley",5 Apr 2019,Rejected,2019-04-05,Friday,English,PhD,NA,NA,NA,NA
"University Of California, Berkeley",5 Apr 2019,Rejected,2019-04-04,Thursday,English,PhD,NA,NA,NA,NA
"University Of California, Berkeley",4 Apr 2019,Rejected,2019-04-05,Friday,English,PhD,NA,NA,NA,NA
"University Of California, Berkeley",4 Apr 2019,Rejected,2019-04-05,Friday,English,PhD,NA,NA,NA,NA
University Of British Columbia,4 Apr 2019,Rejected,2019-04-04,Thursday,Teaching English As A Second Language,PhD,NA,NA,NA,NA
Old Dominion University (ODU),4 Apr 2019,Wait listed,2019-04-03,Wednesday,English,PhD,NA,NA,NA,NA
University Of British Columbia,3 Apr 2019,Accepted,2019-04-01,Monday,English,Masters,3.96,166,151,6
New York University,3 Apr 2019,Wait listed,2019-02-27,Wednesday,English,PhD,3.39,164,146,4.5
Villanova,2 Apr 2019,Accepted,2019-04-03,Wednesday,English,Masters,NA,NA,NA,NA
University Of Pittsburgh,2 Apr 2019,Wait listed,2019-02-05,Tuesday,English - Literature (Critical And Cultural Studies),PhD,NA,NA,NA,NA
University Of Virginia,2 Apr 2019,Wait listed,2019-04-02,Tuesday,English,PhD,NA,NA,NA,NA
McMaster University,2 Apr 2019,Other,2019-04-02,Tuesday,English,PhD,NA,NA,NA,NA
SUNY Albany,2 Apr 2019,Wait listed,2019-04-02,Tuesday,English,PhD,NA,NA,NA,NA
SUNY Albany,2 Apr 2019,Wait listed,2019-04-01,Monday,English,PhD,NA,NA,NA,NA
SUNY Binghamton,1 Apr 2019,Wait listed,2019-04-02,Tuesday,English,PhD,NA,NA,NA,NA
SUNY Albany,1 Apr 2019,Wait listed,2019-04-02,Tuesday,English,PhD,NA,NA,NA,NA
Purdue University - West Lafayette,1 Apr 2019,Wait listed,2019-04-01,Monday,English,Masters,NA,NA,NA,NA
Washington State University,1 Apr 2019,Wait listed,2019-04-01,Monday,English,PhD,4,163,150,6
UNC Chapel Hill,1 Apr 2019,Rejected,2019-04-01,Monday,English,PhD,NA,NA,NA,NA
University Of North Carolina Chapel Hill (UNC),1 Apr 2019,Rejected,2019-04-01,Monday,English,PhD,NA,NA,NA,NA
University Of North Carolina Chapel Hill (UNC),1 Apr 2019,Rejected,2019-04-01,Monday,English,PhD,3.96,166,151,6
UNC Chapel Hill,1 Apr 2019,Rejected,2019-04-01,Monday,English,PhD,NA,NA,NA,NA
University Of Washington,1 Apr 2019,Other,2019-04-01,Monday,English,PhD,NA,NA,NA,NA
Boston University,1 Apr 2019,Other,2019-04-01,Monday,English,PhD,NA,NA,NA,NA
Boston University,31 Mar 2019,Other,2019-03-31,Sunday,English,PhD,NA,NA,NA,NA
University Of Washington,31 Mar 2019,Wait listed,2019-03-31,Sunday,English,PhD,NA,NA,NA,NA
George Washington University,31 Mar 2019,Other,2019-03-31,Sunday,English,PhD,NA,NA,NA,NA
George Washington University,31 Mar 2019,Wait listed,2019-03-07,Thursday,English,PhD,NA,NA,NA,NA
Columbia University,31 Mar 2019,Other,2019-03-31,Sunday,English,PhD,NA,NA,NA,NA
Columbia University (GSAS),30 Mar 2019,Other,2019-03-30,Saturday,English,PhD,NA,NA,NA,NA
Rutgers University,30 Mar 2019,Wait listed,2019-03-30,Saturday,English,PhD,NA,NA,NA,NA
Georgetown University,29 Mar 2019,Wait listed,2019-03-25,Monday,English,Masters,3.96,166,151,6
University Of New Mexico,29 Mar 2019,Accepted,2019-02-07,Thursday,English,Masters,3.96,166,151,6
Duke University,29 Mar 2019,Rejected,2019-02-19,Tuesday,English,PhD,3.96,166,151,6
University Of Chicago,29 Mar 2019,Rejected,2019-02-08,Friday,English,PhD,3.96,166,151,6
University Of Virginia,29 Mar 2019,Rejected,2019-03-12,Tuesday,English,Masters,3.96,166,151,6
College Of Charleston,29 Mar 2019,Accepted,2019-03-18,Monday,English,Masters,3.96,166,151,6
University Of Kentucky,29 Mar 2019,Rejected,2019-03-13,Wednesday,English,Masters,3.96,166,151,6
University Of Maryland College Park,29 Mar 2019,Accepted,2019-02-07,Thursday,English,Masters,3.96,166,151,6
George Washington University,29 Mar 2019,Other,2019-03-29,Friday,English,PhD,NA,NA,NA,NA
Graduate Center (CUNY),29 Mar 2019,Rejected,2019-03-29,Friday,English,PhD,NA,NA,NA,NA
Arizona State University,28 Mar 2019,Wait listed,2019-03-01,Friday,English Literature,PhD,NA,NA,NA,NA
University Of British Columbia,28 Mar 2019,Rejected,2019-03-28,Thursday,English Literature,PhD,NA,NA,NA,NA
Penn State (Pennsylvania State University),28 Mar 2019,Other,2019-03-28,Thursday,English,Masters,NA,NA,NA,NA
Penn State (Pennsylvania State University),28 Mar 2019,Other,2019-03-28,Thursday,English,Masters,NA,NA,NA,NA
University Of North Carolina Chapel Hill (UNC),28 Mar 2019,Rejected,2019-03-28,Thursday,English,PhD,NA,NA,NA,NA
Villanova University,28 Mar 2019,Accepted,2019-03-28,Thursday,English,Masters,3.24,164,158,4
Rutgers University,28 Mar 2019,Wait listed,2019-03-28,Thursday,English,PhD,NA,NA,NA,NA
University Of Southern California,27 Mar 2019,Wait listed,2019-03-28,Thursday,English,PhD,NA,NA,NA,NA
Columbia University (GSAS),27 Mar 2019,Rejected,2019-03-27,Wednesday,English,Masters,NA,167,163,5
Bucknell University,27 Mar 2019,Accepted,2019-03-27,Wednesday,English,Masters,NA,NA,NA,NA
Virginia Commonwealth University,27 Mar 2019,Accepted,2019-03-27,Wednesday,English,Masters,NA,NA,NA,NA
University Of North Carolina Chapel Hill (UNC),27 Mar 2019,Wait listed,2019-03-26,Tuesday,English,PhD,NA,NA,NA,NA
UNC Chapel Hill,27 Mar 2019,Accepted,2019-03-27,Wednesday,English,PhD,NA,NA,NA,NA
Villanova University,26 Mar 2019,Accepted,2019-03-27,Wednesday,English,Masters,3.8,160,149,5.5
Bucknell University,26 Mar 2019,Rejected,2019-03-26,Tuesday,English,Masters,3.97,158,156,5
Memorial University Of Newfoundland,26 Mar 2019,Rejected,2019-03-26,Tuesday,English Literature,PhD,NA,NA,NA,NA
Brandeis University,26 Mar 2019,Accepted,2019-02-15,Friday,English,PhD,NA,170,163,5
University Of Florida,25 Mar 2019,Accepted,2019-03-22,Friday,English,PhD,NA,NA,NA,NA
American University In Cairo,25 Mar 2019,Accepted,2019-03-25,Monday,Teaching English To Speakers Of Other Languages,Masters,NA,NA,NA,NA
University Of Delaware,25 Mar 2019,Accepted,2019-03-25,Monday,English,PhD,4,168,151,5
Fordham University,25 Mar 2019,Wait listed,2019-03-25,Monday,English,PhD,NA,NA,NA,NA
University Of North Carolina Chapel Hill (UNC),25 Mar 2019,Accepted,2019-03-25,Monday,English,PhD,3.8,166,161,4.5
Purdue University - West Lafayette,25 Mar 2019,Wait listed,2019-03-25,Monday,English,Masters,NA,NA,NA,NA
Washington University In St. Louis (WashU/WUSTL),24 Mar 2019,Wait listed,2019-02-15,Friday,English,PhD,NA,NA,NA,NA
Washington University In St. Louis (WashU/WUSTL),24 Mar 2019,Accepted,2019-02-15,Friday,English,PhD,NA,NA,NA,NA
Georgetown University,23 Mar 2019,Accepted,2019-03-21,Thursday,English,Masters,NA,NA,NA,NA
Fordham University,23 Mar 2019,Wait listed,2019-03-23,Saturday,English,PhD,NA,NA,NA,NA
Columbia University,22 Mar 2019,Accepted,2019-03-21,Thursday,English And Comparative Literature,Masters,NA,NA,NA,NA
Georgetown University,22 Mar 2019,Rejected,2019-03-22,Friday,English,Masters,NA,NA,NA,NA
Lehigh University,22 Mar 2019,Accepted,2019-03-22,Friday,English,Masters,NA,NA,NA,NA
Lehigh University,22 Mar 2019,Accepted,2019-02-25,Monday,English,Masters,NA,NA,NA,NA
University Of Virginia,22 Mar 2019,Wait listed,2019-03-21,Thursday,English,PhD,3.83,170,161,5.5
University Of British Columbia (UBC),22 Mar 2019,Other,2019-03-22,Friday,English,Masters,NA,NA,NA,NA
University Of Virginia,21 Mar 2019,Wait listed,2019-03-22,Friday,English,PhD,NA,NA,NA,NA
University Of Illinois,21 Mar 2019,Rejected,2019-03-22,Friday,English,PhD,NA,NA,NA,NA
University Of Virginia,21 Mar 2019,Rejected,2019-03-21,Thursday,English,PhD,3.86,170,156,6
Columbia University,21 Mar 2019,Accepted,2019-03-21,Thursday,English,Masters,NA,NA,NA,NA
Villanova University,21 Mar 2019,Accepted,2019-03-21,Thursday,English,Masters,3.8,0,162,5
University Of Florida,21 Mar 2019,Wait listed,2019-03-21,Thursday,English,PhD,NA,NA,NA,NA
Villanova University,21 Mar 2019,Accepted,2019-03-21,Thursday,English,Masters,4,161,152,4.5
Villanova University,21 Mar 2019,Accepted,2019-03-21,Thursday,English,Masters,3.99,168,159,6
University Of Oregon,21 Mar 2019,Other,2019-03-21,Thursday,English,PhD,NA,NA,NA,NA
Carleton University,21 Mar 2019,Rejected,2019-03-19,Tuesday,English Language And Literature,PhD,NA,NA,NA,NA
University Of Toronto,21 Mar 2019,Rejected,2019-03-21,Thursday,English In Field Of Creative Writing,Masters,NA,NA,NA,NA
Syracuse,21 Mar 2019,Accepted,2019-03-19,Tuesday,English,PhD,3.86,151,160,5.5
Washington State University,20 Mar 2019,Other,2019-03-21,Thursday,English,PhD,NA,NA,NA,NA
New York University GSAS (NYU),20 Mar 2019,Rejected,2019-03-20,Wednesday,English,PhD,4.06,166,152,6
University Of North Texas (UNT),20 Mar 2019,Wait listed,2019-03-20,Wednesday,"English, Creative Writing (Fiction)",Other,NA,NA,NA,NA
University Of Glasgow,20 Mar 2019,Accepted,2019-03-19,Tuesday,English Literature: Victorian Literature,Masters,NA,NA,NA,NA
University Of Cambridge,20 Mar 2019,Accepted,2019-03-15,Friday,English Literature,PhD,NA,NA,NA,NA
Fordham University,19 Mar 2019,Other,2019-03-19,Tuesday,English,Other,3.75,162,153,5
Washington State University,19 Mar 2019,Other,2019-03-19,Tuesday,English,PhD,NA,NA,NA,NA
University Of Montana,19 Mar 2019,Accepted,2019-03-19,Tuesday,English (,Masters,NA,NA,NA,NA
Brandeis University,19 Mar 2019,Accepted,2019-03-19,Tuesday,English,PhD,NA,NA,NA,NA
New York University (NYU Steinhardt),19 Mar 2019,Rejected,2019-03-19,Tuesday,"English Education, Secondary",PhD,NA,NA,NA,NA
"Southern Illinois University, Carbondale",19 Mar 2019,Accepted,2019-03-19,Tuesday,English,PhD,NA,NA,NA,NA
Loyola University Chicago,19 Mar 2019,Accepted,2019-03-17,Sunday,English,PhD,3.64,162,144,4
Syracuse University,19 Mar 2019,Accepted,2019-03-19,Tuesday,English,PhD,3.82,167,157,4
New York University GSAS (NYU),19 Mar 2019,Rejected,2019-03-18,Monday,English,PhD,3.86,170,157,6
Syracuse University,19 Mar 2019,Accepted,2019-03-19,Tuesday,English,PhD,NA,NA,NA,NA
McGill University,19 Mar 2019,Accepted,2019-03-19,Tuesday,English,Masters,NA,NA,NA,NA
University Of Florida,19 Mar 2019,Wait listed,2019-03-14,Thursday,English,PhD,NA,NA,NA,NA
Purdue University - West Lafayette,19 Mar 2019,Accepted,2019-03-18,Monday,English,Masters,3.95,160,154,4
SUNY Albany,19 Mar 2019,Other,2019-03-19,Tuesday,English,PhD,NA,NA,NA,NA
University Of Rochester,19 Mar 2019,Other,2019-03-13,Wednesday,English/ Media & Film Preservation,Masters,NA,147,150,4
"University Of California, Davis",19 Mar 2019,Rejected,2019-03-18,Monday,English,PhD,3.86,162,150,4
"University Of California, Davis",19 Mar 2019,Rejected,2019-03-18,Monday,English,PhD,NA,NA,NA,NA
"University Of California, Davis",19 Mar 2019,Rejected,2019-03-19,Tuesday,English,PhD,NA,NA,NA,NA
McMaster University,18 Mar 2019,Wait listed,2019-03-19,Tuesday,English,PhD,NA,NA,NA,NA
University Of Illinois,18 Mar 2019,Rejected,2019-03-19,Tuesday,English,Masters,NA,0,168,0
University Of Delaware (UDel),18 Mar 2019,Accepted,2019-03-19,Tuesday,English,PhD,NA,NA,NA,NA
"University Of California, Davis",18 Mar 2019,Rejected,2019-03-19,Tuesday,English,PhD,3.99,168,159,6
UC Davis,18 Mar 2019,Rejected,2019-03-19,Tuesday,English,PhD,NA,NA,NA,NA
"University Of California, Davis",18 Mar 2019,Rejected,2019-03-18,Monday,English,PhD,3.7,163,146,6
"University Of California, Davis",18 Mar 2019,Rejected,2019-03-18,Monday,English,PhD,3.82,167,157,4
"University Of California, Davis",18 Mar 2019,Rejected,2019-03-18,Monday,English,PhD,NA,NA,NA,NA
Purdue University,18 Mar 2019,Wait listed,2019-03-18,Monday,"English (Literature, Theory, And Cultural Studies)",Masters,NA,NA,NA,NA
New York University,18 Mar 2019,Rejected,2019-03-18,Monday,English,PhD,3.82,167,157,4
New York University GSAS (NYU),18 Mar 2019,Rejected,2019-03-18,Monday,English,PhD,NA,NA,NA,NA
New York University ( NYU),18 Mar 2019,Rejected,2019-03-18,Monday,English,PhD,NA,NA,NA,NA
New York University GSAS (NYU),18 Mar 2019,Rejected,2019-03-18,Monday,English,PhD,3.31,157,141,5
New York University ( NYU),18 Mar 2019,Rejected,2019-03-18,Monday,English,PhD,NA,NA,NA,NA
Lehigh University,18 Mar 2019,Other,2019-03-18,Monday,English,Masters,NA,NA,NA,NA
Lehigh University,17 Mar 2019,Other,2019-03-18,Monday,English,Masters,NA,NA,NA,NA
Simon Fraser University (SFU),16 Mar 2019,Accepted,2019-03-04,Monday,English,PhD,NA,NA,NA,NA
SUNY - Albany,16 Mar 2019,Accepted,2019-02-28,Thursday,English,PhD,NA,NA,NA,NA
Columbia University Teachers College,15 Mar 2019,Other,2019-03-16,Saturday,Teaching English,Masters,NA,NA,NA,NA
"Columbia University, Teachers College",15 Mar 2019,Accepted,2019-03-15,Friday,Teaching Of English,Masters,NA,NA,NA,NA
New York University GSAS (NYU),15 Mar 2019,Other,2019-03-15,Friday,English,PhD,NA,NA,NA,NA
UC Santa Barbara,15 Mar 2019,Accepted,2019-02-12,Tuesday,English,PhD,NA,NA,NA,NA
New York University GSAS (NYU),15 Mar 2019,Other,2019-03-15,Friday,English,PhD,NA,NA,NA,NA
New York University GSAS (NYU),15 Mar 2019,Other,2019-03-15,Friday,English,PhD,NA,NA,NA,NA
SUNY Binghamton,15 Mar 2019,Wait listed,2019-03-15,Friday,English,PhD,NA,NA,NA,NA
University Of Pennsylvania,15 Mar 2019,Rejected,2019-03-15,Friday,English,Masters,NA,NA,NA,NA
Brown University,15 Mar 2019,Other,2019-03-15,Friday,English,PhD,NA,NA,NA,NA
Brown University,14 Mar 2019,Rejected,2019-03-15,Friday,English,PhD,3.86,162,150,4
Georgia State University,14 Mar 2019,Accepted,2019-03-15,Friday,English,PhD,NA,NA,NA,NA
Idaho State University,14 Mar 2019,Rejected,2019-03-14,Thursday,English,PhD,NA,NA,NA,NA
Brown University,14 Mar 2019,Rejected,2019-03-14,Thursday,English,PhD,NA,NA,NA,NA
Fordham University,14 Mar 2019,Accepted,2019-03-14,Thursday,English,Masters,NA,NA,NA,NA
University Of Florida,14 Mar 2019,Wait listed,2019-03-14,Thursday,English,PhD,NA,NA,NA,NA
University Of Florida,14 Mar 2019,Wait listed,2019-03-14,Thursday,English,PhD,4,164,150,6
University Of Florida,14 Mar 2019,Wait listed,2019-03-14,Thursday,English,PhD,NA,NA,NA,NA
Emory University,13 Mar 2019,Wait listed,2019-03-13,Wednesday,English,PhD,NA,NA,NA,NA
Columbia Teachers College,13 Mar 2019,Other,2019-03-13,Wednesday,Teaching English,Masters,NA,NA,NA,NA
New York University GSAS (NYU),13 Mar 2019,Accepted,2019-03-12,Tuesday,English And American Literature,Masters,NA,166,163,6
Florida State University (FSU),13 Mar 2019,Wait listed,2019-03-13,Wednesday,English (Creative Writing),PhD,NA,NA,NA,NA
New York University GSAS (NYU),13 Mar 2019,Rejected,2019-03-13,Wednesday,English,PhD,3.75,166,150,5
University Of Kentucky,13 Mar 2019,Rejected,2019-03-13,Wednesday,English,PhD,NA,NA,NA,NA
New York University,12 Mar 2019,Accepted,2019-03-12,Tuesday,English,Masters,NA,NA,NA,NA
University Of Montana,12 Mar 2019,Accepted,2019-03-12,Tuesday,English,Masters,NA,NA,NA,NA
New York University ( NYU),12 Mar 2019,Rejected,2019-03-12,Tuesday,English,PhD,3.86,162,150,4
Idaho State University,12 Mar 2019,Rejected,2019-03-12,Tuesday,English,Masters,NA,NA,NA,NA
University Of Oklahoma,12 Mar 2019,Other,2019-03-12,Tuesday,English,PhD,NA,NA,NA,NA
University Of Iowa,12 Mar 2019,Wait listed,2019-03-12,Tuesday,English,PhD,NA,NA,NA,NA
New York University,12 Mar 2019,Accepted,2019-03-12,Tuesday,English,Masters,NA,NA,NA,NA
New York University GSAS (NYU),12 Mar 2019,Accepted,2019-03-12,Tuesday,English,Masters,NA,NA,NA,NA
New York University,12 Mar 2019,Other,2019-03-12,Tuesday,English,PhD,NA,NA,NA,NA
New York University ( NYU),12 Mar 2019,Accepted,2019-03-12,Tuesday,English,Masters,NA,NA,NA,NA
Brooklyn College,12 Mar 2019,Accepted,2019-03-12,Tuesday,English,Masters,NA,NA,NA,NA
University Of Oregon,12 Mar 2019,Rejected,2019-03-12,Tuesday,English,PhD,NA,NA,NA,NA
UC Santa Cruz (UCSC),11 Mar 2019,Rejected,2019-03-11,Monday,English,PhD,NA,NA,NA,NA
"University Of California, Berkeley",11 Mar 2019,Other,2019-03-12,Tuesday,English,PhD,NA,NA,NA,NA
"University Of California, Santa Cruz",11 Mar 2019,Rejected,2019-03-11,Monday,English,PhD,3.75,162,153,5
Duquesne University,11 Mar 2019,Accepted,2019-03-04,Monday,English,Masters,NA,NA,NA,NA
"University Of Nevada, Las Vegas (UNLV)",11 Mar 2019,Rejected,2019-03-08,Friday,English,PhD,NA,NA,NA,NA
University Of Oregon,11 Mar 2019,Rejected,2019-03-11,Monday,English,PhD,NA,NA,NA,NA
"University Of California, Berkeley",11 Mar 2019,Rejected,2019-03-11,Monday,English,PhD,3.9,162,152,5.5
University Of Chicago,11 Mar 2019,Accepted,2019-03-11,Monday,English,Masters,NA,NA,NA,NA
University Of British Columbia,11 Mar 2019,Accepted,2019-03-08,Friday,English,Masters,NA,NA,NA,NA
"University Of California, Riverside",11 Mar 2019,Accepted,2019-02-04,Monday,English,PhD,NA,NA,NA,NA
University Of Oregon,11 Mar 2019,Rejected,2019-03-11,Monday,English,PhD,NA,NA,NA,NA
Emory University,11 Mar 2019,Rejected,2019-03-11,Monday,English,PhD,NA,NA,NA,NA
Emory University,11 Mar 2019,Rejected,2019-03-11,Monday,English,PhD,3.75,162,153,5
Emory University,11 Mar 2019,Rejected,2019-03-11,Monday,English,PhD,NA,NA,NA,NA
Fordham University,11 Mar 2019,Rejected,2019-03-11,Monday,English,PhD,3.75,162,153,5
University Of Hawaii - Manoa,11 Mar 2019,Accepted,2019-03-11,Monday,English,Masters,3.75,162,153,5
Loyola University Chicago,11 Mar 2019,Accepted,2019-02-18,Monday,English,Masters,NA,NA,NA,NA
New York University ( NYU),11 Mar 2019,Other,2019-03-11,Monday,English,PhD,NA,NA,NA,NA
University Of Oregon,11 Mar 2019,Rejected,2019-03-11,Monday,English,PhD,NA,NA,NA,NA
University Of Oregon,11 Mar 2019,Rejected,2019-03-11,Monday,English,PhD,3.7,163,146,6
University Of Oregon,11 Mar 2019,Rejected,2019-03-11,Monday,English,PhD,3.61,163,150,3.5
University Of Oregon,11 Mar 2019,Rejected,2019-03-11,Monday,English,PhD,NA,NA,NA,NA
University Of Oregon,11 Mar 2019,Rejected,2019-03-11,Monday,English,PhD,3.8,160,149,5.5
University Of Chicago,10 Mar 2019,Accepted,2019-03-08,Friday,English,Masters,NA,NA,NA,NA
Western Washington (WWU),10 Mar 2019,Wait listed,2019-03-08,Friday,English,Masters,NA,NA,NA,NA
Lehigh University,10 Mar 2019,Wait listed,2019-02-15,Friday,English,Masters,NA,NA,NA,NA
Georgia State University (GSU),9 Mar 2019,Rejected,2019-03-08,Friday,English,PhD,NA,NA,NA,NA
Boston College,9 Mar 2019,Accepted,2019-03-09,Saturday,English,PhD,4,164,152,5.5
University Of Chicago,9 Mar 2019,Accepted,2019-03-09,Saturday,English,Masters,NA,NA,NA,NA
University Of Colorado Boulder (CU Boulder),9 Mar 2019,Accepted,2019-03-09,Saturday,English,Masters,NA,NA,NA,NA
